"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.27088924779308e-172,1.06228147798454,0.746,0.481,1.32843895909868e-167,"30","Phlpp1"
1.12080119678846e-171,1.63239999833426,0.568,0.296,4.55202198063664e-167,"30","B230118H07Rik"
1.63052545401017e-171,1.81514332365305,0.359,0.128,6.6222160789169e-167,"30","Lrrc1"
3.9033825596687e-171,1.10973896446212,0.744,0.492,1.58531979278384e-166,"30","Mbnl2"
4.53770895258417e-171,1.82433643687279,0.51,0.247,1.84294511400253e-166,"30","Gclm"
5.36780191926224e-171,1.42678448689673,0.433,0.167,2.18007907148917e-166,"30","Ppp1r14c"
7.84691678493098e-171,1.580424912448,0.501,0.226,3.18694678303187e-166,"30","Sulf1"
1.08395062011356e-170,1.60871877920179,0.496,0.227,4.4023570485292e-166,"30","Adgrb1"
1.4147756478271e-170,1.13409775837712,0.799,0.598,5.74596981608497e-166,"30","Gstm5"
2.08424538880004e-170,1.23566441390713,0.808,0.608,8.46495422207249e-166,"30","Fzd3"
4.43512361568325e-170,2.13251507354533,0.276,0.081,1.8012811052736e-165,"30","Cmtm3"
1.38962111923058e-169,1.76952658563611,0.33,0.109,5.64380721364308e-165,"30","Appl2"
2.01795141185119e-169,1.26872827292939,0.646,0.349,8.19570786409242e-165,"30","Fut9"
1.97410611593213e-168,1.3553448634889,0.654,0.381,8.01763457924677e-164,"30","Ccdc30"
9.99598492678494e-168,1.62096797547895,0.428,0.172,4.05976931816443e-163,"30","Spata13"
1.55991762588794e-167,1.57084358392729,0.438,0.182,6.33544944578129e-163,"30","Ctsz"
8.20280906548077e-167,1.61663022553883,0.275,0.079,3.33148887385436e-162,"30","Timp4"
5.81474327312562e-166,1.67151087020574,0.576,0.306,2.36159983294724e-161,"30","Vcl"
1.24638971103195e-165,1.51572110159754,0.307,0.096,5.06208717238518e-161,"30","Notch3"
1.76089164872624e-165,1.30036151172342,0.642,0.362,7.15168534213677e-161,"30","Spred1"
1.07018003782123e-164,0.807461077481267,0.788,0.472,4.34642920560712e-160,"30","Sorcs1"
1.26860325817364e-164,1.63690135928831,0.479,0.219,5.15230527274643e-160,"30","Pmm1"
1.53864580625479e-163,1.33383409978422,0.671,0.415,6.24905607752319e-159,"30","Ift81"
2.28671117400296e-163,1.04879150372815,0.798,0.593,9.28724876209561e-159,"30","Tspan7"
2.50801476189093e-163,1.10743219166584,0.772,0.589,1.01860511539438e-158,"30","Ergic3"
3.19946918356744e-163,1.75158898329963,0.386,0.148,1.29943241421408e-158,"30","Cpne3"
3.51334826980013e-162,1.46357637058998,0.586,0.329,1.42691126629662e-157,"30","Ift22"
9.01839973719537e-162,1.13706127698362,0.754,0.491,3.66273286926453e-157,"30","Six3"
1.0320846956452e-161,1.78822952240904,0.306,0.099,4.19170878289342e-157,"30","Bbof1"
1.28402204506488e-161,1.73210202689798,0.43,0.183,5.21492713382651e-157,"30","Pcnx4"
1.29525096705055e-161,1.41976771790087,0.588,0.321,5.26053227757911e-157,"30","1110032A03Rik"
1.39690269958063e-161,1.49333573424886,0.579,0.309,5.67338062407678e-157,"30","Calu"
2.29755594643971e-161,1.89390968117376,0.332,0.116,9.33129372087023e-157,"30","Rilpl2"
3.33088050244946e-161,1.83150786748065,0.343,0.122,1.35280380726482e-156,"30","Plod2"
3.6206759091033e-161,1.08723522211663,0.367,0.126,1.47050131372321e-156,"30","Tril"
2.25396043889524e-160,1.90702656666797,0.302,0.098,9.15423492652911e-156,"30","Gpam"
5.03419463792321e-160,1.42518018501341,0.408,0.16,2.04458781024613e-155,"30","Slc1a4"
1.03295826360071e-159,1.29073618852378,0.607,0.338,4.19525669178794e-155,"30","Lmbrd1"
4.84069329612125e-158,1.16179786159939,0.717,0.493,1.96599917528668e-153,"30","Pdcd6"
5.3958219903348e-158,0.800952504811662,0.91,0.788,2.19145914315457e-153,"30","Spcs2"
6.54566317720985e-158,2.06349160383967,0.256,0.075,2.65845564279201e-153,"30","Kif24"
8.1695460685877e-158,1.80250269797327,0.328,0.113,3.31797944029621e-153,"30","Sppl2b"
8.26430922054904e-158,1.87253128370901,0.269,0.081,3.35646654683379e-153,"30","Snta1"
1.9999136038357e-157,1.7698233944257,0.386,0.152,8.12244911061831e-153,"30","Cc2d2a"
1.27519570762223e-156,1.28211738808247,0.443,0.182,5.17907984693693e-152,"30","Sox21"
4.53824550794252e-156,1.11569020921275,0.725,0.472,1.84316303059577e-151,"30","Aig1"
5.31034826301856e-156,1.37797227187477,0.62,0.353,2.15674484354236e-151,"30","Etfb"
5.99259683506459e-156,1.29759643939796,0.625,0.35,2.43383327859313e-151,"30","St6galnac3"
1.07545076324414e-155,1.50291492311335,0.495,0.234,4.36783572983976e-151,"30","Rsu1"
2.97716897492444e-155,1.69638271273147,0.443,0.195,1.20914740747581e-150,"30","Dnal1"
1.01505364327722e-154,1.20002665658796,0.637,0.345,4.12253886680609e-150,"30","Pcdh10"
1.69277670318638e-154,2.45992173629768,0.265,0.083,6.87504330232117e-150,"30","Wls"
3.15481868262292e-153,1.70948884505255,0.376,0.147,1.28129805976047e-148,"30","Adgra1"
4.25405705072404e-153,1.53852689121365,0.483,0.228,1.72774273058106e-148,"30","Oscp1"
5.38290365182287e-153,0.623015183344964,0.789,0.446,2.18621248915134e-148,"30","Ncam2"
2.536280981513e-152,1.82241397730241,0.337,0.123,1.03008515783169e-147,"30","Stxbp3"
8.88255460244964e-152,0.772509601524867,0.945,0.889,3.6075607262389e-147,"30","Kif1b"
